Date , Description , Category , Amount
1/3/25 , Con Edison , Utilities ,53.33
1/6/25 , Target , Shopping ,58.54
1/7/25 , Musical , Entertainment ,286.37
1/9/25 , Walmart , Shopping ,326.52
1/14/25 , Con Edison , Utilities ,66.31
1/17/25 , Costco , Shopping ,387.94
1/20/25 , United Airline , Travel ,87.41
1/21/25 , Costco , Groceries ,94.95
11/21/25 , Fish and you , Dining ,335.55
11/23/25 , Delta , Travel ,485.41
12/8/25 , Dim Sum , Dining ,162.74
12/13/25 , Con Edition , Utilities ,396.31
12/17/25 , American Airline , Travel ,76.21
12/23/25 , Emblem Premium , Healthcare ,104.02
12/26/25 , Chicken Soup , Dining ,320.29
3/11/25 , National Grid , Utilities ,125.71
3/16/25 , Target , Shopping ,307.82
3/17/25 , Lion King , Entertainment ,392.2
3/27/25 , Costco , Shopping ,462.65
4/7/25 , United Airline , Travel ,321.48
4/9/25 , Con Edison , Utilities ,223.47
4/11/25 , CVS Pharmacy , Healthcare ,85.82
4/30/25 , NYP Hospital , Healthcare ,119.7
5/3/25 , Dim Sum , Dining ,451.93
5/3/25 , Con Edison , Utilities ,319.39
5/11/25 , Chicken Soup , Dining ,116.43
